,PULocationID,DOLocationID,trip_distance,fare_amount,total_amount,duration,prediction
30036,65,17,1.98,11.0,12.3,15.316666666666666,10.502736336491509
6397,197,69,14.8,52.0,61.67,53.56666666666667,40.10644538871095
40730,212,212,0.91,14.61,17.66,5.0,12.951466432119492
54062,69,47,1.27,14.55,17.6,10.0,13.485196507463042
11382,42,262,3.35,12.0,18.66,8.516666666666667,13.349898238573871
46700,7,192,6.86,30.8,33.85,16.0,24.63729418659875
52928,167,129,9.64,29.41,38.58,26.0,25.12729462241002
14375,74,74,0.57,4.0,4.8,2.533333333333333,5.6739827593172105
65737,247,126,7.31,19.24,22.29,24.0,15.80461815880321
57318,228,97,4.79,35.59,38.64,28.0,26.716116483381036
23355,74,243,3.81,16.0,16.8,18.9,13.73122859001697
933,42,166,1.71,9.0,11.76,9.916666666666666,9.899947981342201
22793,65,61,1.8,12.5,17.15,18.0,12.729065277359892
58015,227,22,1.73,16.73,19.78,11.0,14.172133989884543
60077,72,89,2.78,21.37,24.42,21.0,18.017783596200754
20579,95,28,2.67,10.5,11.3,9.983333333333333,9.856818651601689
45813,51,235,6.42,23.43,26.48,33.0,19.570077255169906
59821,35,21,64111.73,31.9,34.95,24.0,24.89593221132708
47696,22,72,6.61,31.9,34.95,36.0,25.22383208129387
54242,37,89,7.41,33.24,36.29,39.0,26.05186430658194
42010,82,205,9.39,36.62,39.67,27.0,28.150750395996674
2063,65,61,2.43,11.0,14.16,12.516666666666667,11.198469524774293
46503,129,260,0.89,7.0,8.07,6.0,7.61315014312466
47316,242,248,5.77,22.79,25.84,17.0,18.255051446475285
63680,177,61,2.88,18.95,22.0,20.0,15.902595286101016
24940,244,166,2.93,11.5,14.76,11.216666666666667,10.786984533418764
40241,74,141,2.77,11.5,18.06,12.583333333333334,12.75912768578365
57970,155,39,3.66,23.79,26.84,22.0,19.20163028255024
53229,51,247,7.46,27.27,30.32,39.0,22.12309089491238
23884,75,41,1.02,6.0,7.8,5.816666666666666,7.33519548603158
4112,74,168,1.5,7.5,8.3,6.95,8.050898423942783
33061,242,182,0.0,12.2,13.0,18.516666666666666,10.384933737043056
44643,242,18,4.59,20.8,23.85,19.0,16.79743572438517
51014,254,58,4.76,29.02,32.07,12.0,22.214641883736782
33151,65,97,1.1,6.5,9.45,7.083333333333333,8.161199072806067
45648,82,95,1.79,19.06,22.11,7.0,16.442892557505612
64548,49,33,2.46,18.95,22.0,20.0,16.487925589929215
5621,74,75,1.27,7.5,10.79,8.183333333333334,8.890938491918316
52487,51,229,13.96,40.32,49.49,38.0,32.96612027324787
52189,181,188,2.84,22.45,25.5,16.0,18.28054152542625
21846,74,152,1.69,9.0,12.88,10.933333333333334,10.14399185217087
35080,65,189,1.4,8.5,11.75,9.066666666666666,9.650408367388524
58581,169,244,5.06,18.26,21.31,13.0,15.592821968533267
34412,166,41,1.11,6.5,7.3,7.966666666666667,6.878751410616257
27587,43,236,0.65,6.0,9.55,6.233333333333333,8.232697164765153
37614,166,166,2.22,11.0,16.73,15.283333333333333,11.711216663872943
15971,41,140,3.74,16.5,24.06,21.133333333333333,16.588439578577148
37707,41,244,3.36,16.5,21.96,23.533333333333335,15.895348563922404
41341,241,69,3.96,25.95,29.0,25.0,20.24710225812268
40277,42,247,1.22,6.0,6.8,6.566666666666666,7.254494567995611
32606,74,238,2.71,12.0,18.66,14.316666666666666,13.184926404172877
70743,52,67,6.35,23.82,26.87,18.0,19.722903397504794
39834,74,41,0.9,5.0,10.8,3.933333333333333,8.116232859262473
51716,47,78,1.18,17.59,20.64,9.0,15.622762200034678
1943,41,42,0.66,4.5,7.3,3.6666666666666665,6.861120489230991
72738,74,249,8.88,32.91,35.96,41.0,25.755232075910136
32125,97,225,2.46,11.0,15.36,14.166666666666666,11.578340415504659
50438,106,17,2.47,25.95,29.0,17.0,20.850934975768354
33527,43,238,1.7,8.0,15.05,8.15,10.81922301164417
19624,41,166,1.71,14.5,19.56,21.233333333333334,14.37858067024524
25158,97,188,3.19,15.0,18.96,20.316666666666666,14.064033700146242
55334,76,117,9.98,36.5,41.84,30.0,28.870499416252308
49503,235,182,4.28,18.75,21.8,24.0,15.569903477203118
738,41,47,3.63,14.5,18.36,16.3,13.875221895464403
68026,81,209,20.63,52.26,67.55,38.0,42.930917834235004
27279,41,41,0.92,8.0,8.3,8.183333333333334,8.281346424623731
